room_id,host_id,total_score
13000643,11959815,3.0
12972378,71380118,3.0
3747216,19168001,3.0
10033715,30283594,3.0
12843196,66497629,3.0
7838961,25188,3.0
10048789,30283594,3.0
9652961,7829762,3.0
12102482,30283594,3.0
13060255,6950436,3.0
10035581,30283594,3.0
10054046,30283594,3.0
10034930,30283594,3.0
12889938,70560456,3.0
11927580,15421490,3.0
1119740,25188,3.0
7916575,22348222,3.0
7984226,36050005,3.0
7342489,22348222,3.0
9327506,19642206,3.0
12325694,18887719,3.0
13074124,71188385,3.0
8206536,22348222,3.0
6762011,22348222,3.0
8303267,4552954,3.0
12678384,32532791,3.0
8552387,28880663,3.0
12088808,64576267,3.0
7740592,4552954,3.0
12655180,10014314,3.0
12971878,7661802,3.0
12587887,68277260,3.0
9209711,47898569,3.0
12972176,55048606,3.0
12924446,799496,3.0
10656576,52081526,3.0
11634778,10477120,3.0
5684346,18494756,3.0
9853959,50727619,3.0
7694365,22348222,3.0
12796808,31035017,3.0
6747461,6846812,3.0
12398005,20857768,3.0
13064781,22548550,3.0
10131503,30283594,3.0
10655144,41102014,3.0
12916551,70833557,3.0
7476340,22348222,3.0
6758482,22348222,3.0
6850880,22348222,3.0
13091074,1416883,3.0
12290886,32532791,3.0
11940785,25470887,3.0
12953937,44792241,3.0
8403945,22348222,3.0
12282650,21184200,3.0
9770560,5380487,3.0
11768880,62644786,3.0
11398458,56540970,3.0
12655758,68753453,3.0
9343915,48494513,3.0
11039763,24771710,3.0
6759439,22348222,3.0
7342359,32228249,3.0
7694559,22348222,3.0
9821291,24171028,3.0
6758462,22348222,3.0
11512755,10138187,3.0
11398499,59820555,3.0
12362389,2025724,3.0
1589392,4195134,3.0
6810723,22348222,3.0
12736777,39964775,3.0
10153536,30283594,3.0
11948017,1426567,3.0
10036192,30283594,3.0
2214923,9419684,3.0
8162168,30283594,3.0
8163273,30283594,3.0
9647355,28075417,3.0
8063815,30283594,3.0
13083058,48018479,3.0
9999894,39481873,3.0
8188894,43195276,3.0
12973308,71393113,3.0
12750816,66050182,3.0
12760108,32778391,3.0
12873337,70412204,3.0
12264207,66050182,3.0
12962690,64082142,3.0
12831927,67307654,3.0
11842312,12243051,3.0
9698823,2268578,3.0
9834532,5610797,3.0
9840919,32532791,3.0
12934186,757253,3.0
7125052,37320933,3.0
5222368,1532353,3.0
4681859,3003724,3.0
